ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Peso,53.74,61.84,51.64,75.95,63.3,51.8,64.87,67.38,65.76,56.95,75.12,63.9,53.79,37.85,71.25,59.55,59.84,69.44,68.21,65.94,69.19,67.82,60.75,40.11,66.2,59.44,58.44,45.29,55.22,64.18,73.59,58.97,63.88,59.46,46.23,55.85,56.06,59.41,71,67.63,58.35,57.47,66.97,65.57,53.11,52.93,63.65,67.69,58.88,68.81
Estatura,166,154,151,180,165,149,145,159,177,164,179,169,154,157,146,141,169,144,158,166,180,160,159,147,170,158,160,148,149,164,163,143,141,166,177,164,162,161,179,160,167,164,150,150,169,158,147,170,144,175
Edad,23.5,22.4,27,2.3,17.2,15.7,20,27.3,17.5,18.8,21.8,23.2,29.4,30,26.3,17.7,23.2,23.7,18.4,21.4,17.5,25.6,18.5,19.7,17.2,30,18.5,25.6,26.7,21,18.9,16.3,25.2,15.4,22.2,18.4,15.3,21.3,26.7,19.8,26.4,33.2,14.3,25.3,23.4,19,31.4,24.3,18.2,22
Complexión,Mesomorfo,Mesomorfo,Mesomorfo,Endomorfo,Mesomorfo,Mesomorfo,Mesomorfo,Endomorfo,Endomorfo,Mesomorfo,Endomorfo,Mesomorfo,Mesomorfo,Ectomorfo,Endomorfo,Mesomorfo,Mesomorfo,Endomorfo,Endomorfo,Endomorfo,Endomorfo,Endomorfo,Mesomorfo,Ectomorfo,Endomorfo,Mesomorfo,Mesomorfo,Ectomorfo,Mesomorfo,Mesomorfo,Endomorfo,Mesomorfo,Mesomorfo,Mesomorfo,Ectomorfo,Mesomorfo,Mesomorfo,Mesomorfo,Endomorfo,Endomorfo,Mesomorfo,Mesomorfo,Endomorfo,Endomorfo,Mesomorfo,Mesomorfo,Mesomorfo,Endomorfo,Mesomorfo,Endomorfo
Papás_separados,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI
Cantidad_hermanos,3,0,2,2,2,5,1,4,0,2,1,1,4,4,1,2,0,2,5,3,3,2,2,5,4,5,4,4,1,4,5,1,2,4,0,2,2,1,3,5,5,1,3,2,3,1,2,1,2,4
Trabaja,SI,SI,NO,SI,NO,SI,NO,SI,NO,SI,SI,SI,NO,SI,SI,NO,SI,NO,SI,SI,SI,SI,NO,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,NO,SI,SI,NO,NO,SI,NO,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI
Horas_trab_dia,5,10,NA,10,NA,6,NA,4,NA,10,6,8,NA,8,7,NA,6,NA,9,7,7,8,NA,6,6,5,10,NA,9,10,4,6,7,NA,9,8,NA,NA,10,NA,6,7,NA,6,7,6,10,5,4,10
Horas_trab_mes,25,80,NA,80,NA,30,NA,20,NA,80,30,40,NA,40,35,NA,30,NA,45,35,35,40,NA,30,48,25,80,NA,45,70,20,30,35,NA,48,40,NA,NA,70,NA,30,35,NA,30,35,30,80,25,20,70
Salario_mes,1750,3200,NA,3200,NA,1200,NA,2400,NA,12000,3600,2800,NA,3600,5250,NA,3600,NA,3150,5250,5250,1600,NA,2100,1200,1000,9600,NA,3150,5600,1800,1200,4200,NA,5400,6000,NA,NA,3200,NA,4500,1400,NA,3600,2450,2100,12000,3750,800,9600
