tipo,largo,ancho,alto
rectangular,25,13,3
rectangular,22,10,4
rectangular,26,15,2
rectangular,28,15,2
rectangular,22,10,3
rectangular,21,12,3
rectangular,23,12,2
rectangular,24,13,4
rectangular,25,13,2
rectangular,24,13,1
rectangular,26,11,2
rectangular,27,12,2
rectangular,25,13,3
rectangular,22,11,3
rectangular,29,8,3
rectangular,23,9,5
rectangular,24,11,4
rectangular,24,10,2
rectangular,24,12,4
rectangular,23,13,3
rectangular,19,11,5
rectangular,23,10,3
rectangular,24,9,2
rectangular,19,10,3
rectangular,26,10,2
rectangular,26,12,3
rectangular,27,15,4
rectangular,25,13,2
rectangular,26,10,3
rectangular,23,12,4
rectangular,24,11,4
rectangular,23,13,4
rectangular,24,10,2
rectangular,25,10,3
rectangular,19,12,3
rectangular,25,12,4
rectangular,25,11,3
rectangular,26,10,3
rectangular,26,13,3
rectangular,25,14,3
rectangular,23,11,3
rectangular,24,10,3
rectangular,25,9,1
rectangular,26,13,3
rectangular,24,12,4
rectangular,25,10,3
rectangular,23,12,3
rectangular,24,12,1
rectangular,23,11,2
rectangular,23,10,2
rectangular,25,15,5
rectangular,27,12,3
rectangular,24,11,3
rectangular,22,15,2
rectangular,27,14,4
rectangular,22,14,2
rectangular,19,11,3
rectangular,23,14,3
rectangular,27,13,3
rectangular,24,13,5
rectangular,28,15,5
rectangular,28,15,5
rectangular,27,10,2
rectangular,27,11,3
rectangular,24,12,4
rectangular,23,14,3
rectangular,20,13,2
rectangular,27,9,4
rectangular,25,15,3
rectangular,25,13,4
rectangular,24,13,2
rectangular,25,10,3
rectangular,21,14,4
rectangular,23,12,1
rectangular,18,10,3
rectangular,21,12,2
rectangular,21,6,5
rectangular,24,16,4
rectangular,26,13,4
rectangular,26,14,1
rectangular,23,13,4
rectangular,20,10,3
rectangular,29,12,4
rectangular,25,10,3
rectangular,26,11,3
rectangular,21,12,3
rectangular,26,11,3
rectangular,26,12,4
rectangular,26,12,4
rectangular,25,16,1
rectangular,23,16,1
rectangular,25,13,2
rectangular,24,9,3
rectangular,24,12,5
rectangular,23,10,3
rectangular,23,13,4
rectangular,23,8,3
rectangular,25,12,2
rectangular,27,13,4
rectangular,27,9,2
cuadrada,13,36,4
cuadrada,14,34,4
cuadrada,16,33,2
cuadrada,15,33,4
cuadrada,13,31,4
cuadrada,15,30,4
cuadrada,13,30,3
cuadrada,14,32,3
cuadrada,15,29,4
cuadrada,15,28,3
cuadrada,12,29,3
cuadrada,11,31,4
cuadrada,13,27,3
cuadrada,16,35,3
cuadrada,16,31,3
cuadrada,15,31,3
cuadrada,15,30,3
cuadrada,18,33,3
cuadrada,12,30,4
cuadrada,16,33,3
cuadrada,16,31,4
cuadrada,15,34,2
cuadrada,17,36,2
cuadrada,17,30,2
cuadrada,14,33,4
cuadrada,15,31,4
cuadrada,17,30,3
cuadrada,12,29,4
cuadrada,15,37,2
cuadrada,14,32,2
cuadrada,14,34,4
cuadrada,14,35,4
cuadrada,14,32,3
cuadrada,15,31,3
cuadrada,14,31,4
cuadrada,14,35,4
cuadrada,12,31,4
cuadrada,15,31,4
cuadrada,12,33,3
cuadrada,15,36,1
cuadrada,17,32,3
cuadrada,12,34,4
cuadrada,11,32,3
cuadrada,16,31,3
cuadrada,17,32,3
cuadrada,15,31,4
cuadrada,18,35,4
cuadrada,16,25,3
cuadrada,11,32,4
cuadrada,14,35,4
cuadrada,11,28,4
cuadrada,13,35,4
cuadrada,11,35,4
cuadrada,15,33,2
cuadrada,12,31,4
cuadrada,15,30,3
cuadrada,12,28,2
cuadrada,17,30,3
cuadrada,17,33,3
cuadrada,13,31,2
cuadrada,13,33,4
cuadrada,14,36,3
cuadrada,13,33,3
cuadrada,15,33,4
cuadrada,14,32,4
cuadrada,16,33,2
cuadrada,16,32,4
cuadrada,15,29,2
cuadrada,16,33,4
cuadrada,14,30,3
cuadrada,11,29,2
cuadrada,15,33,2
cuadrada,14,36,2
cuadrada,12,30,4
cuadrada,14,32,3
cuadrada,13,33,3
cuadrada,13,29,4
cuadrada,12,34,2
cuadrada,15,32,4
cuadrada,14,34,4
cuadrada,14,36,4
cuadrada,18,29,2
cuadrada,16,35,3
cuadrada,17,31,4
cuadrada,15,35,3
cuadrada,13,33,3
cuadrada,17,33,3
cuadrada,12,30,4
cuadrada,11,33,4
cuadrada,17,33,4
cuadrada,17,30,4
cuadrada,15,35,4
cuadrada,11,35,3
cuadrada,15,32,3
cuadrada,12,32,4
cuadrada,15,31,3
cuadrada,15,32,4
cuadrada,12,30,3
cuadrada,14,29,1
cuadrada,9,31,2
circular,12,20,2
circular,13,23,3
circular,13,22,2
circular,13,21,4
circular,11,28,4
circular,11,22,4
circular,12,24,4
circular,13,24,4
circular,12,23,2
circular,11,22,3
circular,14,24,4
circular,14,23,4
circular,13,29,4
circular,11,21,3
circular,12,23,4
circular,12,26,3
circular,13,19,4
circular,12,18,4
circular,12,24,3
circular,12,23,2
circular,13,24,2
circular,9,24,4
circular,11,21,1
circular,12,27,4
circular,15,28,4
circular,11,25,3
circular,12,28,4
circular,12,21,3
circular,12,24,4
circular,13,19,4
circular,11,22,4
circular,12,23,4
circular,14,25,4
circular,15,23,4
circular,13,26,3
circular,13,24,3
circular,12,19,3
circular,12,25,2
circular,12,21,3
circular,13,26,3
circular,12,24,4
circular,14,24,4
circular,15,28,3
circular,13,26,3
circular,12,26,3
circular,11,22,1
circular,11,24,3
circular,10,28,2
circular,12,23,3
circular,12,25,4
circular,15,24,2
circular,13,26,4
circular,13,24,3
circular,12,21,3
circular,9,27,4
circular,10,24,4
circular,12,22,2
circular,11,23,4
circular,11,26,2
circular,10,25,4
circular,14,28,4
circular,13,25,3
circular,14,23,3
circular,10,24,4
circular,9,24,4
circular,15,23,4
circular,13,23,4
circular,13,20,3
circular,14,25,3
circular,14,24,4
circular,10,21,3
circular,8,24,2
circular,12,24,3
circular,9,25,3
circular,12,21,4
circular,9,22,4
circular,14,26,4
circular,11,26,2
circular,12,27,2
circular,13,25,3
circular,13,19,3
circular,11,22,4
circular,11,22,4
circular,12,23,3
circular,13,25,3
circular,13,22,2
circular,12,27,4
circular,9,22,2
circular,11,22,4
circular,11,18,4
circular,11,27,4
circular,11,23,3
circular,11,24,3
circular,14,26,3
circular,12,23,2
circular,12,21,3
