peso,altura,edad,salud,ansiedad,deporte
83.67,104,61,regular,2,bajo
90.33,178,69,regular,2,nulo
69.22,105,68,regular,2,bajo
88.34,135,30,regular,2,nulo
83.54,137,54,buena,0,bajo
68.22,199,55,mala,3,Medio
79.4,152,42,buena,0,bajo
94.24,158,40,buena,0,nulo
83.33,132,34,buena,0,bajo
73.47,142,68,regular,2,bajo
93.22,130,54,mala,3,nulo
86.67,102,49,buena,0,nulo
68.29,199,53,regular,2,Medio
83.14,117,40,regular,2,bajo
80.36,157,53,regular,2,bajo
78.04,122,41,buena,0,bajo
80.17,102,53,buena,0,bajo
69.48,204,65,mala,3,Medio
87.32,111,31,buena,0,nulo
91.16,115,59,regular,2,nulo
74.21,131,39,buena,0,bajo
75.4,149,56,mala,3,bajo
77.64,110,45,buena,0,bajo
75.1,190,31,mala,3,bajo
86.72,140,42,buena,0,nulo
84.95,161,56,mala,3,bajo
86.67,135,65,regular,2,nulo
77.74,200,40,buena,1,bajo
72.41,134,25,regular,2,bajo
75.24,118,33,buena,0,bajo
86.95,134,51,buena,0,nulo
74.3,101,28,mala,3,bajo
84.48,205,50,regular,2,bajo
77.41,149,48,buena,0,bajo
73.13,204,50,buena,1,Medio
73.35,202,45,buena,1,Medio
82.8,164,49,buena,1,bajo
78.77,123,47,buena,0,bajo
64.18,116,57,regular,2,bajo
68.12,199,53,mala,3,Medio
77,135,48,buena,0,bajo
75.94,109,61,mala,3,bajo
75.73,127,60,regular,2,bajo
84.71,198,52,mala,3,bajo
87,159,62,regular,2,nulo
77.08,205,36,buena,1,bajo
80.49,133,55,mala,3,bajo
79.62,195,46,mala,3,bajo
79.11,125,58,mala,3,bajo
76.66,192,56,regular,2,bajo
73.27,194,38,regular,2,Medio
87.71,111,61,mala,3,nulo
82.64,198,56,mala,3,bajo
88.23,138,26,buena,0,nulo
78.9,103,40,buena,0,bajo
89.39,102,46,buena,0,nulo
70.7,189,46,regular,2,Medio
72.26,197,36,buena,1,Medio
84.3,198,42,buena,1,bajo
78.52,195,63,regular,2,bajo
75.3,119,45,mala,3,bajo
66.9,116,50,regular,2,bajo
89.04,127,68,regular,2,nulo
94.56,137,62,mala,3,nulo
67.7,116,50,mala,3,bajo
70.08,118,50,mala,3,bajo
79.98,131,54,regular,2,bajo
95.59,116,51,regular,2,nulo
77.72,148,36,mala,3,bajo
81.38,107,60,regular,2,bajo
84.1,153,55,buena,0,bajo
68.93,196,64,regular,2,Medio
66.8,100,60,mala,3,bajo
78.92,197,48,buena,1,bajo
85.38,200,45,mala,3,nulo
84.66,119,44,buena,0,bajo
90.08,163,47,buena,1,nulo
70.86,113,69,mala,3,bajo
87.02,114,45,mala,3,nulo
99.76,120,49,mala,3,nulo
83.02,196,24,mala,3,bajo
71.11,209,45,buena,1,Medio
87.72,166,37,buena,1,nulo
94.33,205,46,buena,1,nulo
84.4,136,45,buena,0,bajo
82.3,146,47,regular,2,bajo
63.1,205,47,mala,3,Medio
94.73,152,79,mala,3,nulo
69.33,102,28,regular,2,bajo
79.65,153,48,buena,0,bajo
80.35,160,45,buena,3,bajo
80.4,134,54,regular,2,bajo
77.99,136,55,mala,3,bajo
80.69,107,69,regular,2,bajo
71.83,132,55,regular,2,bajo
84.28,198,64,mala,3,bajo
88.34,122,41,buena,0,nulo
76.7,115,57,mala,3,bajo
85,140,47,buena,0,bajo
80.17,159,40,buena,0,bajo
