BPS_School_Name,BPS_Historical_Name,BPS_Address,BPS_Grades_Offered,BPS_Property_Status,BPS_Total_GSF,BPS_GSF,BPS_Year_Founded ,BPS_Year_Built,BPS_Plans,BPS_KWH, BPS_Electric_Bill ,BPS_Therms, BPS_Gas_Bill ,BPS_Water_ft_cubic, BPS_Water_Bill , BPS_Total_Energy_Cost ,SMMA_FA_Status,SMMA_FA_School_Enrollment,SMMA_FA_Enrollment_Building,SMMA_FA_Major_Investments,SMMA_FA_Existing_PV,SMMA_FA_space_Solar,SMMA_FA_Roof_Membrane,SMMA_FA_Facade,SMMA_FA_,SMMA_FA_Boilers,SMMA_FA_Heating_Distribution_Systems,SMMA_FA_Ventilation_Distribution_Systems,SMMA_FA_Electrical_Service,SMMA_FA_Means_Egress,SMMA_FA_FP_Sprinklers,SMMA_FA_Life_Safety,SMMA_FA_Security_Entry,SMMA_FA_Lighting_Quantity_Control,SMMA_FA_Toilets_Fixtures,SMMA_FA_Plumbing_Distribution_Systems,SMMA_FA_Accessibility,SMMA_FA_Deterioration_Roof,SMMA_FA_Deterioration_Floor,SMMA_FA_Deterioration_Walls_Columns,SMMA_FA_Deterioration_Foundations,SMMA_FA_Deterioration_Facade,SMMA_FA_lateral_system_identifiable,SMMA_FA_Overall_Building_Condition,SMMA_FA_MHC_Inventory,SMMA_FA_MHC_Register,SMMA_FA_Emergency_Shelter,SMMA_FA_Community_Use_spaces,SMMA_FA_Overall_Community_Building,SMMA_FA_Building_suitability_school,SMMA_FA_susceptible_climate_change_now,SMMA_FA_susceptible_climate_change_2100,SMMA_FA_site_major_investments_10__years,SMMA_FA_building_expandable_current_site,SMMA_FA_Parking_Quality,SMMA_FA_Neighborhood_Streets,SMMA_FA_DropOff_PickUp,SMMA_FA_Walkways_Curbs_Sidewalks,SMMA_FA_MAABADA_Accessibility,SMMA_FA_Site_Lighting,SMMA_FA_Fencing,SMMA_FA_Drainage,SMMA_FA_Play_Areas,SMMA_FA_Walls_Slopes,SMMA_FA_Overall_Site_Condition,SMMA_FA_MHC_Archaeological_Assets,SMMA_FA_Mass_Transit,SMMA_FA_Bikable,SMMA_FA_Walkable,SMMA_FA_Overall_Community_Site,SMMA_FA_Site_suitability_school
"Adams, Samuel Elementary",Adams,"165 Webster St East Boston, MA 02128",K0-5,Owned,41336,41336,1910,1910,"CAD plans, site plans",381000,"$58,339.00",14650,"$13,401.00",0, $-   ,"$71,740.00",Phase 3,302,302,Yes,No,Yes,Moderate,Adequate,Replace,Replace,Moderate,Replace,Minor,Not Present,Not Present,Minor,Moderate,Minor,Replace,Replace,Not Present,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Poor,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Moderate,Adequate,Minor,Minor,Not Present,Minor,Moderate,Minor,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Alighieri, Dante Montessori School",Alighieri,"37 Gove Street East Boston, MA 02128",K0-5,Owned,16948,16948,1924,1924,"CAD plans, site plans",9977,"$2,072.00",8230,"$9,957.00",8120,"$1,685.00","$13,714.00",Phase 3,90,90,Yes,No,Yes,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Moderate,Adequate,Adequate,Minor,Adequate,Adequate,Adequate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,Yes,Yes,Yes,No,Moderate,Minor,Minor,Adequate,Not Present,Minor,Adequate,Moderate,Adequate,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,No
Another Course to College*,Taft,"20 Warren Street Brighton, MA 02135",09-dic,Owned,28021,28021,1939,1895,"CAD plans, site plans",343410,"$49,657.00",51459,"$57,978.00",163110,"$20,763.00","$128,398.00",Phase 3,237,674,Yes,No,Yes,Minor,Adequate,Minor,Moderate,Moderate,Moderate,Adequate,Minor,Not Present,Adequate,Moderate,Minor,Adequate,Adequate,Moderate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Adequate,Adequate,Minor,Minor,Moderate,Moderate,Adequate,Adequate,Moderate,Moderate,Good,Not Researched,Yes,Yes,Yes,Good,Yes
Baldwin Early Learning Pilot Academy,Baldwin ELC,"121 Corey Rd Brighton, MA 02135",K0-1,Owned,27879,27879,1926,1926,"CAD plans, site plans",70212,"$9,588.00",9806,"$11,657.00",42550,"$5,227.00","$26,472.00",Phase 3,142,142,Yes,No,Yes,Not Present,Minor,Minor,Moderate,Moderate,Minor,Minor,Minor,Not Present,Adequate,Moderate,Minor,Moderate,Moderate,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Poor,Yes,No,No,No,No,Minor,Adequate,Moderate,Minor,Moderate,Minor,Minor,Moderate,Adequate,Minor,Good,Not Researched,Yes,Yes,Yes,Good,No
"Bates, Phineas Elementary",Bates,"426 Beech St Roslindale, MA 02131",K1-5,Owned,27936,27936,1929,1929,"CAD plans, site plans",91800,"$13,367.00",14530,"$16,909.00",42870,"$5,262.00","$35,538.00",Phase 3,297,297,Yes,No,Yes,Moderate,Adequate,Moderate,Replace,Moderate,Moderate,Replace,Adequate,Not Present,Minor,Moderate,Adequate,Replace,Moderate,Replace,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Fair,Listed,Not Listed,No,No,Poor,Yes,No,No,No,Yes,Replace,Minor,Minor,Minor,Not Present,Moderate,Minor,Minor,Minor,Moderate,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
"Beethoven, Ludwig Van Elementary",Beethoven,"5125 Washington St West Roxbury, MA 02132",K1-3,Owned,37452,37452,1925,1925,"CAD plans, site plans",122680,"$19,632.00",17669,"$20,307.00",73100,"$10,491.00","$50,430.00",Phase 3,342,342,Yes,No,Yes,Adequate,Adequate,Adequate,Adequate,Minor,Moderate,Adequate,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Excellent,Not Listed,Not Listed,No,No,Fair,Yes,No,No,Yes,Yes,Adequate,Minor,Adequate,Moderate,Minor,Not Present,Minor,Moderate,Not Present,Not Present,Fair,Not Researched,No,No,Yes,Fair,No
"Blackstone, William Elementary",Blackstone,"380 Shawmut Ave Boston, MA 02118",K0-5,Owned,194260,167781,1975,1975,"CAD plans, site plans",1048920,"$226,804.00",115380,"$124,712.00",218350,"$27,794.00","$379,310.00",Phase 3,595,595,Yes,No,Yes,Adequate,Minor,Minor,Minor,Adequate,Adequate,Minor,Adequate,Moderate,Adequate,Minor,Minor,Moderate,Minor,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Not Listed,Not Listed,No,Yes,Good,Yes,No,Yes,Yes,No,Replace,Minor,Moderate,Moderate,Moderate,Minor,Adequate,Minor,Minor,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,Yes
Boston Adult Technical Academy,,"20 Church Street Boston, MA 02116",11-dic,Owned,17640,17640,2005,1899,"CAD plans, site plans",91160,"$20,821.00",3845,"$5,269.00",23630,"$3,148.00","$29,238.00",Phase 3,170,170,No,No,Yes,Replace,Adequate,Adequate,Minor,Moderate,Moderate,Minor,Adequate,Adequate,Moderate,Adequate,Adequate,Moderate,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Listed,Not Listed,No,No,Deficient,Yes,No,Yes,No,No,Not Present,Adequate,Not Present,Minor,Replace,Moderate,Adequate,Minor,Not Present,Minor,Fair,Not Researched,Yes,Yes,Yes,Fair,No
Boston Arts Academy,Boston Arts Academy,"174 Ipswich St Boston, MA 02215",09-dic,Owned,79541,79541,1998,1899,"CAD plans, site plans",782820,"$112,162.00",54291,"$66,101.00",71260,"$10,245.00","$188,508.00",Phase 3,437,437,Yes,No,Yes,Minor,Adequate,Adequate,Minor,Adequate,Moderate,Adequate,Minor,Minor,Minor,Adequate,Adequate,Minor,Moderate,Adequate,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,No,Good,Not Listed,Not Listed,Yes,No,Poor,Yes,No,Yes,No,Yes,Not Present,Moderate,Adequate,Not Present,Minor,Not Present,Not Present,Not Present,Not Present,Not Present,Poor,Not Researched,Yes,Yes,No,Poor,No
Boston Community Leadership Academy*,Hyde Park High Complex,"655 Metropolitan Av Hyde Park, MA 02136",09-dic,Owned,127373,127373,2005,1929,"CAD plans, site plans",1016346,"$152,573.00",87336,"$64,059.00",120635,"$16,435.00","$233,067.00",Phase 3,506,825,Yes,No,Yes,Adequate,Adequate,Adequate,Minor,Minor,Adequate,Adequate,Adequate,Adequate,Adequate,Minor,Adequate,Moderate,Minor,Minor,Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,Yes,Good,Listed,Not Listed,No,Yes,Good,Yes,No,No,No,No,Minor,Minor,Moderate,Moderate,Not Present,Minor,Minor,Minor,Not Present,Minor,Fair,Not Researched,No,Yes,Yes,Fair,Yes
